IP: 60.241.235.168 | PORT: 55129 | ZIP: 2228
IP: 202.63.48.72 | PORT: 16314 | ZIP: 4000
IP: 13.211.81.69 | PORT: 1080 | ZIP: 1001
IP: 14.203.39.23 | PORT: 19071 | ZIP: 5023
IP: 202.63.48.72 | PORT: 54208 | ZIP: 4000
IP: 202.63.48.72 | PORT: 64119 | ZIP: 4000
IP: 60.241.235.168 | PORT: 33330 | ZIP: 2228
IP: 121.200.26.14 | PORT: 25542 | ZIP: 2519
IP: 14.203.39.23 | PORT: 53112 | ZIP: 5023
IP: 14.203.39.23 | PORT: 10716 | ZIP: 5023
IP: 27.33.24.1 | PORT: 41399 | ZIP: 2069
IP: 60.241.235.168 | PORT: 30158 | ZIP: 2228
IP: 115.64.61.62 | PORT: 20094 | ZIP: 2093
IP: 118.127.102.149 | PORT: 14330 | ZIP: 3000
IP: 45.63.28.79 | PORT: 31004 | ZIP: 2015
IP: 27.33.24.1 | PORT: 19100 | ZIP: 2069
IP: 202.153.209.234 | PORT: 17027 | ZIP: 3280
IP: 118.127.102.149 | PORT: 22870 | ZIP: 3000
IP: 118.127.102.149 | PORT: 58898 | ZIP: 3000
IP: 118.127.102.149 | PORT: 12776 | ZIP: 3000
